2026-04-05 13:48:19 | DEBUG | signal | REDUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | KAITOUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | GPSUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | SHELLUSDT: Δ 2.5, cur: -0.03534817956875077, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | HEIUSDT: Δ 2.5, cur: -0.24600246002459022, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | B3USDT: Δ 2.5, cur: 0.20020020020018697, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | BROCCOLIUSDT: Δ 5.0, cur: -0.16077170418005776, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | IPUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | LAYERUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | TSTUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | BERAUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | PIPPINUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | VVVUSDT: Δ 2.5, cur: 0.113700966458215, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | ANIMEUSDT: Δ 2.5, cur: 0.0671591672263353, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | VINEUSDT: Δ 5.0, cur: -0.22446689113354867, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | SOLVUSDT: Δ 2.5, cur: 0.04261666311528373, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | ARCUSDT: Δ 2.5, cur: -0.14925373134329042, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | MELANIAUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | TRUMPUSDT: Δ 2.5, cur: 0.07077140835101839, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | SUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | AVAAIUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | SONICUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | DUSDT: Δ 2.5, cur: 0.14482259232440928, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | COOKIEUSDT: Δ 2.5, cur: -0.1884422110552687, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | ALCHUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | SWARMSUSDT: Δ 2.5, cur: 0.09920634920634516, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | BIOUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | GRIFFAINUSDT: Δ 2.5, cur: -0.26572187776794076, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | ZEREBROUSDT: Δ 2.5, cur: -0.2812939521800289, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | PHAUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | DEXEUSDT: Δ 2.5, cur: 0.16528925619835338, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | AIXBTUSDT: Δ 2.5, cur: 0.046168051708216036, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | FARTCOINUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | KMNOUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | CGPTUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | USUALUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | HYPEUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | PENGUUSDT: Δ 2.5, cur: -0.016490765171506147, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | VANAUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | MOCAUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | AVAUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | DEGOUSDT: Δ 2.5, cur: 0.06925207756231924, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | VELODROMEUSDT: Δ 2.5, cur: -0.14947683109117477, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | MEUSDT: Δ 2.5, cur: 1.584342963653302, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | VIRTUALUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | SPXUSDT: Δ 2.5, cur: 0.07751937984495269, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | ACXUSDT: Δ 2.5, cur: -0.0933706816059881, ttl: 10
